n	part.num	weight	lambda	dist.1	dist.2	dist.3	dist.4	dist.5
3	29	0.0105142797	1.58333	0.16337	0.16642	0.16021	0.1582	0.16512
3	30	0.0131428496	1.10346	0.16157	0.15436	0.16247	0.15962	0.15905
3	31	0.0131428496	1.29298	0.15991	0.15419	0.15785	0.15731	0.16425
3	32	0.0105142797	2.78425	0.17269	0.16888	0.17148	0.17404	0.17004
3	33	0.0043809499	4.99927	0.1746	0.17426	0.16982	0.17319	0.16999
3	34	0.00175238	4.26036	0.17417	0.17256	0.17006	0.18186	0.17744
3	35	0.0078857098	2.34911	0.16745	0.17455	0.16501	0.16575	0.15969
3	36	0.0131428496	1.09582	0.15294	0.15699	0.16026	0.15283	0.15331
3	37	0.0131428496	1.74838	0.16383	0.16468	0.16674	0.17269	0.16411
3	38	0.0131428496	1.79887	0.16286	0.16431	0.16758	0.16496	0.16164
3	39	0.0131428496	1.78868	0.16126	0.15893	0.16506	0.16486	0.15806
3	40	0.0131428496	1.17273	0.15486	0.16008	0.15731	0.15532	0.1581
3	41	0.0105142797	1.78461	0.16106	0.16516	0.16131	0.16077	0.16242
3	42	0.0131428496	1.22171	0.15201	0.15874	0.1726	0.1578	0.16687
3	43	0.0026285699	3.79414	0.1656	0.17638	0.17309	0.16642	0.17318
3	44	0.0105142797	1.71123	0.16646	0.15962	0.17031	0.16841	0.16491
3	45	0.0131428496	1.4825	0.16066	0.16418	0.1584	0.15658	0.16634
3	46	0.0105142797	2.0346	0.16262	0.1684	0.16731	0.17004	0.16208
3	47	0.0131428496	0.69983	0.14447	0.15223	0.15354	0.14763	0.15183
3	48	0.0131428496	1.4231	0.16904	0.16554	0.16175	0.15819	0.16029
3	49	0.0131428496	1.28712	0.15961	0.15926	0.16616	0.1598	0.16165
3	50	0.0131428496	0.07044	0.132	0.15364	0.1346	0.13765	0.15426
3	51	0.0063085678	2.6222	0.17007	0.16897	0.16127	0.16411	0.16317
3	52	0.0047314259	2.6909	0.17249	0.16634	0.16466	0.16715	0.17137
3	53	0.0059142823	3.62984	0.1803	0.16691	0.16701	0.16953	0.17707
3	54	0.0131428496	0.7557	0.15291	0.15115	0.14591	0.14369	0.14665
3	55	0.0131428496	2.11115	0.17218	0.17184	0.16783	0.16303	0.16872
3	56	0.0052571399	3.15178	0.16684	0.17801	0.17702	0.17016	0.17137
3	57	0.0131428496	4.06778	0.1726	0.17536	0.16929	0.17378	0.17197
3	58	0.006729139	2.91559	0.17057	0.1663	0.16629	0.16603	0.1688
3	59	0.0084114238	2.19688	0.16772	0.17096	0.16703	0.16087	0.16927
3	60	0.0131428496	1.70414	0.16701	0.16113	0.16456	0.17002	0.16736
3	61	0.0131428496	0.49196	0.13657	0.13879	0.1405	0.13884	0.13338
3	62	0.0026285699	5.74826	0.16966	0.17367	0.17306	0.16708	0.17296
3	63	0.0078857098	2.46333	0.16479	0.16844	0.17707	0.16613	0.16222
3	64	0.0131428496	1.03318	0.16536	0.15222	0.15078	0.15833	0.16114
3	65	0.0131428496	0.82518	0.15291	0.15841	0.15128	0.14952	0.15538
3	66	0.0070095198	3.44624	0.16932	0.17096	0.18004	0.16422	0.17013
3	67	0.0084114238	4.44282	0.16702	0.17048	0.1683	0.18309	0.17683
3	68	0.0131428496	0.55909	0.14496	0.1415	0.13973	0.14206	0.14086
3	69	0.00175238	4.85213	0.17661	0.17017	0.16781	0.16832	0.17354
3	70	0.0131428496	0.66567	0.1378	0.15052	0.14603	0.14181	0.14298
3	71	0.0078857098	2.07005	0.16331	0.16562	0.16274	0.1663	0.17056
3	72	0.0078857098	3.17478	0.16997	0.16768	0.17062	0.17224	0.16858
3	73	0.0131428496	0.7772	0.14518	0.15288	0.14785	0.15216	0.14656
3	74	0.0131428496	1.01303	0.15108	0.15051	0.1529	0.15872	0.14925
3	75	0	8.5494	0.17871	0.17364	0.17525	0.17845	0.17121
3	76	0.0131428496	1.11563	0.15763	0.15532	0.15611	0.16486	0.16109
3	77	0.0131428496	1.42498	0.15842	0.1614	0.15889	0.16337	0.15593
3	78	0.0131428496	1.90084	0.16933	0.15839	0.16903	0.1597	0.16723
3	79	0.0105142797	2.05422	0.16276	0.16555	0.1639	0.17714	0.16496
3	80	0.0131428496	0.56986	0.13518	0.14975	0.13826	0.14968	0.14292
3	81	0.0131428496	0.78194	0.14963	0.14587	0.15113	0.15408	0.15258
3	82	0.0131428496	0.77014	0.14432	0.15625	0.14544	0.14387	0.14314
3	83	0.0131428496	0.60384	0.14816	0.14555	0.14839	0.14718	0.14025
3	84	0.0131428496	1.03896	0.15126	0.15514	0.15325	0.15054	0.15475
3	85	0.0105142797	2.36379	0.16478	0.16859	0.16497	0.17719	0.16408
3	86	0.0131428496	1.34222	0.1566	0.16253	0.16744	0.16105	0.15954
3	87	0.0131428496	0.61834	0.15149	0.13977	0.14303	0.13714	0.14632
3	88	0.0059142823	3.91664	0.16962	0.16725	0.17791	0.17338	0.1693
3	89	0.0131428496	0.55322	0.14066	0.14768	0.13745	0.14201	0.13217
3	90	0.0131428496	1.22126	0.16394	0.1575	0.16808	0.15476	0.16067
3	91	0.0131428496	0.11025	0.11689	0.12656	0.12176	0.11462	0.11499
3	92	0.0131428496	1.43777	0.16408	0.16596	0.15743	0.15947	0.15812
3	93	0.0131428496	0.4844	0.13456	0.14081	0.13177	0.13628	0.1445
3	94	0.0105142797	3.44308	0.16542	0.16557	0.17881	0.16965	0.17475
3	95	0.0009857137	3.43496	0.16776	0.17304	0.16364	0.16564	0.16333
3	96	0.0021028559	5.44915	0.17511	0.17296	0.16752	0.17614	0.17449
3	97	0.0131428496	0.47325	0.13723	0.13588	0.13427	0.13739	0.13776
